"Batch","BINo","ItemRef","Count","GlassPiece","RackNo","SheetNo","StripCode","PieceCode","Rotated","Width","Height","Glasstype"
"B085249","55","R232650","1","2","B25","1","","","","","","123001"
"B085249","56","R232650","1","2","B26","1","","","","","","123001"
"B085249","77","R232836","1","2","C17","1","","","","","","123001"
"B085249","78","R232836","1","2","C18","1","","","","","","123001"
"B085249","79","R232836","1","2","C19","1","","","","","","123001"
"B085249","80","R232836","1","2","C20","1","","","","","","123001"
"B085249","7","R232296","1","2","A7","2","","","","","","123001"
"B085249","8","R232296","1","2","A8","2","","","","","","123001"
"B085249","9","R232296","1","2","A9","2","","","","","","123001"
"B085249","10","R232296","1","2","A10","2","","","","","","123001"
"B085249","31","R232646","1","2","B1","2","","","","","","123001"
"B085249","93","R233139","1","2","D3","2","","","","","","123001"
"B085249","140","R232800","1","2","E20","2","","","","","","123001"
"B085249","11","R232296","1","2","A11","3","","","","","","123001"
"B085249","12","R232296","1","2","A12","3","","","","","","123001"
"B085249","13","R232296","1","2","A13","3","","","","","","123001"
"B085249","14","R232296","1","2","A14","3","","","","","","123001"
"B085249","73","R232831","1","2","C13","3","","","","","","123001"
"B085249","141","R232800","1","2","E21","3","","","","","","123001"
"B085249","33","R232646","1","2","B3","4","","","","","","123001"
"B085249","35","R232647","1","2","B5","4","","","","","","123001"
"B085249","36","R232647","1","2","B6","4","","","","","","123001"
"B085249","39","R232647","1","2","B9","4","","","","","","123001"
"B085249","40","R232647","1","2","B10","4","","","","","","123001"
"B085249","41","R232647","1","2","B11","4","","","","","","123001"
"B085249","42","R232647","1","2","B12","4","","","","","","123001"
"B085249","85","R232965","1","2","C25","4","","","","","","123001"
"B085249","47","R232648","1","2","B17","5","","","","","","123001"
"B085249","48","R232648","1","2","B18","5","","","","","","123001"
"B085249","49","R232648","1","2","B19","5","","","","","","123001"
"B085249","50","R232648","1","2","B20","5","","","","","","123001"
"B085249","52","R232650","1","2","B22","5","","","","","","123001"
"B085249","74","R232831","1","2","C14","5","","","","","","123001"
"B085249","83","R232965","1","2","C23","5","","","","","","123001"
"B085249","143","R232800","1","2","E23","5","","","","","","123001"
"B085249","32","R232646","1","2","B2","6","","","","","","123001"
"B085249","86","R233139","1","2","C26","6","","","","","","123001"
"B085249","101","R233152","1","2","D11","6","","","","","","123001"
"B085249","102","R233152","1","2","D12","6","","","","","","123001"
"B085249","106","R231838","1","2","D16","6","","","","","","123001"
"B085249","19","R232484","1","2","A19","7","","","","","","123001"
"B085249","20","R232484","1","2","A20","7","","","","","","123001"
"B085249","44","R232648","1","2","B14","7","","","","","","123001"
"B085249","46","R232648","1","2","B16","7","","","","","","123001"
"B085249","84","R232965","1","2","C24","7","","","","","","123001"
"B085249","88","R233139","1","2","C28","7","","","","","","123001"
"B085249","90","R233139","1","2","C30","7","","","","","","123001"
"B085249","92","R233139","1","2","D2","7","","","","","","123001"
"B085249","96","R233139","1","2","D6","7","","","","","","123001"
"B085249","97","R233139","1","2","D7","7","","","","","","123001"
"B085249","108","R231838","1","2","D18","7","","","","","","123001"
"B085249","6","R232155","1","2","A6","8","","","","","","123001"
"B085249","53","R232650","1","2","B23","8","","","","","","123001"
"B085249","66","R232765","1","2","C6","8","","","","","","123001"
"B085249","76","R232831","1","2","C16","8","","","","","","123001"
"B085249","107","R231838","1","2","D17","8","","","","","","123001"
"B085249","130","R231927","1","2","E10","8","","","","","","123001"
"B085249","136","R232780","1","2","E16","8","","","","","","123001"
"B085249","137","R232780","1","2","E17","8","","","","","","123001"
"B085249","27","R232546","1","2","A27","9","","","","","","123001"
"B085249","28","R232546","1","2","A28","9","","","","","","123001"
"B085249","29","R232546","1","2","A29","9","","","","","","123001"
"B085249","30","R232546","1","2","A30","9","","","","","","123001"
"B085249","75","R232831","1","2","C15","9","","","","","","123001"
"B085249","111","R231845","1","2","D21","9","","","","","","123001"
"B085249","112","R231845","1","2","D22","9","","","","","","123001"
"B085249","125","R231927","1","2","E5","9","","","","","","123001"
"B085249","126","R231927","1","2","E6","9","","","","","","123001"
"B085249","145","R232800","1","2","E25","9","","","","","","123001"
"B085249","5","R232155","1","2","A5","10","","","","","","123001"
"B085249","65","R232765","1","2","C5","10","","","","","","123001"
"B085249","69","R232823","1","2","C9","10","","","","","","123001"
"B085249","139","R232780","1","2","E19","10","","","","","","123001"
"B085249","146","R232822","1","2","E26","10","","","","","","123001"
"B085249","15","R232484","1","2","A15","11","","","","","","123001"
"B085249","59","R232755","1","2","B29","11","","","","","","123001"
"B085249","60","R232755","1","2","B30","11","","","","","","123001"
"B085249","61","R232755","1","2","C1","11","","","","","","123001"
"B085249","62","R232755","1","2","C2","11","","","","","","123001"
"B085249","64","R232755","1","2","C4","11","","","","","","123001"
"B085249","98","R233139","1","2","D8","11","","","","","","123001"
"B085249","142","R232800","1","2","E22","11","","","","","","123001"
"B085249","1","R232155","1","2","A1","12","","","","","","123001"
"B085249","2","R232155","1","2","A2","12","","","","","","123001"
"B085249","37","R232647","1","2","B7","12","","","","","","123001"
"B085249","110","R231845","1","2","D20","12","","","","","","123001"
"B085249","117","R231873","1","2","D27","12","","","","","","123001"
"B085249","124","R231927","1","2","E4","12","","","","","","123001"
"B085249","127","R231927","1","2","E7","12","","","","","","123001"
"B085249","17","R232484","1","2","A17","13","","","","","","123001"
"B085249","18","R232484","1","2","A18","13","","","","","","123001"
"B085249","21","R232484","1","2","A21","13","","","","","","123001"
"B085249","22","R232484","1","2","A22","13","","","","","","123001"
"B085249","24","R232546","1","2","A24","13","","","","","","123001"
"B085249","116","R231873","1","2","D26","13","","","","","","123001"
"B085249","119","R231873","1","2","D29","13","","","","","","123001"
"B085249","45","R232648","1","2","B15","14","","","","","","123001"
"B085249","63","R232755","1","2","C3","14","","","","","","123001"
"B085249","67","R232765","1","2","C7","14","","","","","","123001"
"B085249","68","R232765","1","2","C8","14","","","","","","123001"
"B085249","109","R231838","1","2","D19","14","","","","","","123001"
"B085249","120","R231927","1","2","D30","14","","","","","","123001"
"B085249","123","R231927","1","2","E3","14","","","","","","123001"
"B085249","128","R231927","1","2","E8","14","","","","","","123001"
"B085249","129","R231927","1","2","E9","14","","","","","","123001"
"B085249","138","R232780","1","2","E18","14","","","","","","123001"
"B085249","82","R232836","1","2","C22","15","","","","","","123001"
"B085249","114","R231873","1","2","D24","15","","","","","","123001"
"B085249","115","R231873","1","2","D25","15","","","","","","123001"
"B085249","118","R231873","1","2","D28","15","","","","","","123001"
"B085249","26","R232546","1","2","A26","16","","","","","","123001"
"B085249","54","R232650","1","2","B24","16","","","","","","123001"
"B085249","70","R232823","1","2","C10","16","","","","","","123001"
"B085249","113","R231845","1","2","D23","16","","","","","","123001"
"B085249","131","R231927","1","2","E11","16","","","","","","123001"
"B085249","149","R232822","1","2","E29","16","","","","","","123001"
"B085249","16","R232484","1","2","A16","17","","","","","","123001"
"B085249","91","R233139","1","2","D1","17","","","","","","123001"
"B085249","134","R232754","1","2","E14","17","","","","","","123001"
"B085249","147","R232822","1","2","E27","17","","","","","","123001"
"B085249","148","R232822","1","2","E28","17","","","","","","123001"
"B085249","38","R232647","1","2","B8","18","","","","","","123001"
"B085249","94","R233139","1","2","D4","18","","","","","","123001"
"B085249","95","R233139","1","2","D5","18","","","","","","123001"
"B085249","100","R233152","1","2","D10","18","","","","","","123001"
"B085249","103","R233152","1","2","D13","18","","","","","","123001"
"B085249","121","R231927","1","2","E1","18","","","","","","123001"
"B085249","122","R231927","1","2","E2","18","","","","","","123001"
"B085249","25","R232546","1","2","A25","19","","","","","","123001"
"B085249","72","R232823","1","2","C12","19","","","","","","123001"
"B085249","89","R233139","1","2","C29","19","","","","","","123001"
"B085249","99","R233139","1","2","D9","19","","","","","","123001"
"B085249","132","R232754","1","2","E12","19","","","","","","123001"
"B085249","133","R232754","1","2","E13","19","","","","","","123001"
"B085249","144","R232800","1","2","E24","19","","","","","","123001"
"B085249","23","R232546","1","2","A23","20","","","","","","123001"
"B085249","34","R232646","1","2","B4","20","","","","","","123001"
"B085249","43","R232648","1","2","B13","20","","","","","","123001"
"B085249","51","R232650","1","2","B21","20","","","","","","123001"
"B085249","71","R232823","1","2","C11","20","","","","","","123001"
"B085249","81","R232836","1","2","C21","20","","","","","","123001"
"B085249","135","R232754","1","2","E15","20","","","","","","123001"
"B085249","3","R232155","1","2","A3","21","","","","","","123001"
"B085249","4","R232155","1","2","A4","21","","","","","","123001"
"B085249","57","R232650","1","2","B27","21","","","","","","123001"
"B085249","58","R232650","1","2","B28","21","","","","","","123001"
"B085249","87","R233139","1","2","C27","21","","","","","","123001"
"B085249","104","R231542","1","2","D14","21","","","","","","123001"
"B085249","105","R231542","1","2","D15","21","","","","","","123001"